,ID,Category,lat,lng
8,4cca7bd67965b60c80f0858a,Other Great Outdoors,35.75575922,139.7335732
22,4d1bcae9f8ca236a2ff7f030,Other Great Outdoors,35.66993326,139.825227
127,4b63fae9f964a520b4992ae3,Other Great Outdoors,35.66214296,139.7328007
139,4b6545c5f964a52064eb2ae3,Other Great Outdoors,35.70585469,139.649899
155,4ba5977af964a520d61439e3,Other Great Outdoors,35.66529713,139.7367247
219,4b56fc09f964a520c52128e3,Other Great Outdoors,35.67027536,139.6706271
231,4d44a162bf61a1cd77ff0aac,Other Great Outdoors,35.56501395,139.6809704
272,4e0ddb7c62e1d5a30cfaeda4,Other Great Outdoors,35.65713961,139.7528323
430,4dc642e5fa76d685cdf6822c,Other Great Outdoors,35.76902767,139.8838117
495,4cf6d57971538cfa38c8b72e,Other Great Outdoors,35.65333256,139.7572243
507,4b7f961bf964a5208c3530e3,Garden,35.68333952,139.7605562
556,4f729013e4b0905384b2e359,Other Great Outdoors,35.64388072,139.6995011
586,4d5f51ee039188bfa3cb7123,Other Great Outdoors,35.67500799,139.7584641
634,4ec09a4fbe7b04923ccd270d,Sculpture Garden,35.65730279,139.5435709
689,4c986d7f4804a1439372eb0e,Sculpture Garden,35.65436596,139.7568842
815,4db107b91e729fcc564a5ea1,Garden,35.63101585,139.7346342
827,4c1c14c1eac020a199ff45c2,Factory,35.54200436,139.7887301
957,4b73ca50f964a520eebb2de3,Other Great Outdoors,35.70349804,139.5803788
991,4f7bc4d2e4b03d7e4e7109a0,Factory,35.59782164,139.7344097
1052,4b5903bef964a520887828e3,Garden,35.62087919,139.7366997
1107,4f79adf7e4b0ca8cfefe3e33,Other Great Outdoors,35.734277,139.769654
1134,4b641d46f964a520bd9f2ae3,Other Great Outdoors,35.56445899,139.6396422
1165,4dfde879483b96a3aaaad1a9,Other Great Outdoors,35.58254534,139.6696864
1174,4bbbe77a3de8c9b698749aad,Other Great Outdoors,35.56143922,139.6398836
1190,4e1c2d9018a8c65001f91bcc,Factory,35.74416399,139.7538954
1200,4bad9942f964a520195e3be3,Garden,35.62641334,139.7413516
1259,4b58ec71f964a520467328e3,Garden,35.68036781,139.7567046
1282,4b63ae30f964a520ac8b2ae3,Recycling Facility,35.70054886,139.7711992
1297,4b5ff761f964a520f1d129e3,Garden,35.68525669,139.7094655
1461,4dadf9654df0f639f2428045,Other Great Outdoors,35.62587265,139.7074485
1597,4b64112af964a520979d2ae3,Other Great Outdoors,35.5837139,139.6296
1773,4be6207a910020a13308d414,Garden,35.68764438,139.7907794
2303,4b6caf53f964a520104c2ce3,Other Great Outdoors,35.68443972,139.7371486
2393,4bd3c7fb462cb7135954df07,Other Great Outdoors,35.71135835,139.7758824
2453,4b7e61a2f964a520e0ea2fe3,Other Great Outdoors,35.64569258,139.4897604
2523,4f475d416d8678c4752b869e,Other Great Outdoors,35.66128871,139.6116829
2668,4d93c36084a6a35d049349b8,Other Great Outdoors,35.60903575,139.7355572
2700,4f131500e4b0865b0942540a,Garden,35.72832866,139.5531249
2703,4bbd2eef078095211e5bda91,Garden Center,35.72345902,139.620055
2781,4d12e9f840e6548173b3931a,Other Great Outdoors,35.6965845,139.7354025
2926,4b568200f964a520561328e3,Garden,35.73313786,139.7465122
3030,4e0e98c552b1b27c1b891f9a,Other Great Outdoors,35.71512362,139.7389948
3042,4baeaa93f964a520b1cc3be3,Other Great Outdoors,35.71625813,139.7414397
3399,4b6cd94df964a520f1582ce3,Garden,35.60671075,139.6690553
3431,4e29771b18384dd0a0eb0fe5,Other Great Outdoors,35.68293325,139.7368594
3446,4b6c0f00f964a520c6212ce3,Sculpture Garden,35.65906803,139.700574
3602,4b653431f964a520cbe82ae3,Other Great Outdoors,35.60724346,139.6690435
3696,4bc01ceaabf4952167eabe93,Other Great Outdoors,35.62043959,139.5753017
3713,4b6be54bf964a520c41b2ce3,Other Great Outdoors,35.692349,139.701094
3750,4b9c7902f964a520146b36e3,Other Great Outdoors,35.58534553,139.6748382
3758,4d02cac0e350b60cbc1e7942,Other Great Outdoors,35.840821,139.728697
3787,4d966d33744f3704c175ba57,Other Great Outdoors,35.86341355,139.7175139
3798,4e43230e22710a4e95b889ab,Other Great Outdoors,35.62263734,139.6635518
3803,4b9c8c7cf964a520946f36e3,Other Great Outdoors,35.71526695,139.7219731
3815,4bb4097a643cd13a905e395c,Other Great Outdoors,35.78785403,139.7222221
3832,4e61e4eed4c06542aab4cc93,Other Great Outdoors,35.8254583,139.7549953
3839,4e8699e3775b183b86a5ef08,Garden,35.7061,139.609864
3845,4be533e42468c9280ec9ff42,Other Great Outdoors,35.56817494,139.6780745
3859,4ba42635f964a520998638e3,Other Great Outdoors,35.67282038,139.6943164
3863,4be690ed78e8952152c464ce,Sculpture Garden,35.64335813,139.609167
3908,4da0e94eb521224b1714e9ed,Other Great Outdoors,35.55690596,139.6856063
3931,4bd56dd66f649521fc006fec,Other Great Outdoors,35.60176472,139.6904755
4075,4c00832134ccc9287ac6e1cd,Other Great Outdoors,35.80175167,139.6758306
4083,4b8b6d26f964a5202f9f32e3,Other Great Outdoors,35.68529155,139.7307837
4091,4e7f05aeb6342b7532acb2b3,Other Great Outdoors,35.69304691,139.7479928
4141,4de831aad22d09215a1755c2,Other Great Outdoors,35.81167085,139.591105
4188,4b64f5b3f964a52067dc2ae3,Garden,35.58827059,139.6684903
4278,4b80a5fff964a5207d8330e3,Garden,35.75769724,139.7327034
4319,4bbdb838078095218bd8da91,Other Great Outdoors,35.60716511,139.6702944
4328,4b9af828f964a520e6e735e3,Other Great Outdoors,35.68306719,139.8474571
4353,4e3deaa22271d21e86fda99f,Harbor / Marina,35.54589416,139.751964
4375,4c3e9e6b1ef0d13a7fa19280,Other Great Outdoors,35.70602675,139.7678357
4406,4eea69044690034a801de24c,Other Great Outdoors,35.73981455,139.7906886
4408,4b566b11f964a520890f28e3,Garden,35.68579698,139.7566617
4435,4bc14cd5461576b0edd97b32,Garden,35.69169631,139.7045356
4457,4bca9379511f9521c12eb0c7,Other Great Outdoors,35.75711414,139.8043234
4459,4d9acf687668f04db688c393,Other Great Outdoors,35.83006156,139.5590472
4462,4bfe748855539c74aadabcf3,Garden,35.68352252,139.7134781
4547,4b56a684f964a520961728e3,Garden,35.66029497,139.7634745
4550,4b5419a4f964a52031b227e3,Other Great Outdoors,35.71188321,139.7703838
4609,4daad5be0437dccbd80ead3d,Other Great Outdoors,35.83286242,139.5687407
4739,4b7e26caf964a52099e42fe3,Other Great Outdoors,35.739064,139.75252
4742,4ecc9d0599117287c947bb94,Other Great Outdoors,35.76022966,139.7738068
4748,4e9e45d502d576b65524c3e3,Other Great Outdoors,35.67981877,139.74545
4811,4b0587a5f964a520309e22e3,Garden,35.65468099,139.7585392
4830,4b637c65f964a5209b7d2ae3,Garden,35.659534,139.759204
5060,4bf1f5d0324cc9b6d8b0cc92,Other Great Outdoors,35.73572386,139.4895191
5175,4b77bae1f964a52082a82ee3,Other Great Outdoors,35.77075035,139.6923564
5388,4c22f42e9a67a593fb5fdd87,Other Great Outdoors,35.66454877,139.7359228
5434,4d3d9eb184d46ea81c23085d,Other Great Outdoors,35.68218547,139.7344546
5508,4efd8350e5faf286998519b9,Other Great Outdoors,35.65929117,139.7581826
5706,4b909923f964a520949133e3,Other Great Outdoors,35.59201569,139.7528261
5756,4c8af0b0770fb60cdeaed7c3,Other Great Outdoors,35.66765182,139.7837198
5805,4f838860e4b002559bf4e53f,Garden,35.580064,139.606264
5821,4e9eb68e4690454516e8a741,Other Great Outdoors,35.61879709,139.6221714
5855,4b98b685f964a520884c35e3,Other Great Outdoors,35.67099225,139.7332755
5896,4e9584fa6c25df8da7accdc2,Other Great Outdoors,35.64325045,139.6286303
5976,4b7f4d8bf964a520192630e3,Garden,35.70957683,139.7219029
6048,4ee60e1e823180a98cd342c8,Other Great Outdoors,35.65384758,139.7063675
6222,4decb303b0fb8293f80cdba3,Other Great Outdoors,35.690737,139.778357
6269,4f83d0bce4b072142db6748a,Recycling Facility,35.665377,139.774044
6308,4bb6c71a2f70c9b6c3018630,Other Great Outdoors,35.52255169,139.6598446
6335,4f255731e5e8a60dfbc4cf59,Other Great Outdoors,35.66736418,139.7714567
6353,4d5743b6b4deb1f737e51b7a,Other Great Outdoors,35.6952601,139.7356653
6571,4e25a15bb61ceeea677d24bb,Other Great Outdoors,35.68380363,139.7022087
6576,4bbb1397b35776b0f484cb01,Other Great Outdoors,35.65712183,139.5551487
6736,4c2843119fb5d13a095d9957,Other Great Outdoors,35.69711927,139.7749208
6902,4dfaab56d22d56d1ebacea9e,Other Great Outdoors,35.70148165,139.704667
6919,4eb8e6f26d86ba38ae3b0201,Other Great Outdoors,35.71979714,139.7041655
7130,4beb8a58415e20a1de84e6bb,Other Great Outdoors,35.69922452,139.5785201
7550,4bcbb51afb84c9b6c2731f3e,Other Great Outdoors,35.67847935,139.7360611
7811,4e2f7404b0fbdc2b65021229,Other Great Outdoors,35.60540185,139.506598
