,ID,Category,lat,lng
98,4b7d7de1f964a5200bc22fe3,Other Nightlife,35.70618888,139.6469652
407,4bc5312b69369521abd98388,Event Space,35.61756565,139.7772235
507,4b558892f964a520b9e627e3,Event Space,35.66029497,139.7292709
556,4e803e748b81c2429f765622,Event Space,35.6816881,139.7646466
722,4b558892f964a520b9e627e3,Event Space,35.66029497,139.7292709
729,4b64f18af964a52064db2ae3,Convention Center,35.68290729,139.7719846
809,4c77836bf2473704574b66eb,General Entertainment,35.643839,139.756548
846,4cb59f691b0af04d1d47ca25,General Entertainment,35.66002474,139.6959257
1287,4b9760def964a520900135e3,Hotel,35.665687,139.75376
1378,4e02a6df81dcb799d170d916,Event Space,35.69293799,139.7679913
1512,4b5ed8abf964a520c29a29e3,Event Space,35.66357687,139.7117561
1578,4b47db98f964a520ce4126e3,Convention Center,35.67664648,139.7636515
1582,4ea03402cc21b2fa8ea6b408,Convention Center,35.78327172,139.6108192
1704,4b5aa822f964a520bbcf28e3,General Entertainment,35.65591235,139.7062603
1733,4e6b1a9ad164c37bf4dff451,General Entertainment,35.66491487,139.6960759
1804,4b05879cf964a5205b9c22e3,Hotel,35.65957252,139.7285938
1892,4be65cc12468c928c05d0143,Convention Center,35.67682078,139.7641611
1903,4bdef72517fdef3b0db34e36,Convention Center,35.63173282,139.7976351
2039,4be3952ed27a20a1e9bb925b,Convention Center,35.700397,139.7343199
2161,4b65073df964a52044e02ae3,Convention Center,35.612097,139.710788
2216,4b558892f964a520b9e627e3,Event Space,35.66029497,139.7292709
2294,4b5a8476f964a52049c928e3,Event Space,35.5848351,139.6105403
2381,4b058799f964a520979b22e3,Hotel,35.690062,139.694569
2433,4b599f84f964a520728f28e3,Event Space,35.69460661,139.7021645
2459,4bd73eed304fce72cb4233ab,Hotel,35.62869378,139.7870082
2505,4e803e748b81c2429f765622,Event Space,35.6816881,139.7646466
2507,4c241610f7ced13a335f226d,Hotel,35.66907255,139.7577989
2752,4b682c38f964a520526a2be3,Hotel,35.66711628,139.7635133
2872,4c5aade26407d13af822b528,Hotel,35.69228884,139.7090095
2975,4be64cde2468c928cc4f0143,Convention Center,35.7012023,139.5436406
2992,4dcbf314e4cde609a3a41c84,Other Nightlife,35.67906199,139.7787296
3030,4bcb390c0687ef3b3238ddcc,Hotel,35.60445694,139.7341231
3129,4f0aa1dbe4b0ca3a5e78e637,Other Nightlife,35.69046812,139.7081877
3275,4b76b0a9f964a520a0582ee3,Hotel,35.63141017,139.8734343
3290,4bb15735f964a520708d3ce3,Hotel,35.63065151,139.873842
3300,4ba8cae0f964a5203bef39e3,Hotel,35.73509574,139.710474
3304,4ceb6bf2595cb1f77940d914,Hotel,35.62925625,139.8737615
3432,4b52fdeff964a5201c8c27e3,Hotel,35.682094,139.799545
3480,4f799606e4b0795c39ea9940,Other Nightlife,35.62869025,139.547539
3628,4cb836e19552b60c2f82ca8b,General Entertainment,35.69374603,139.7012463
3676,4e0f3a2145ddc2c6d17f76bd,Other Nightlife,35.52949641,139.6993765
3686,4bbd726907809521f3a8da91,General Entertainment,35.71448353,139.8312485
3750,4bce80ab937ca59375bfae92,Hotel,35.65902738,139.7521786
3759,4c08cb586071a5931ac7dc32,Hotel,35.65995293,139.7521786
3800,4e972dc7e5e8c81815bc525e,General Entertainment,35.69951858,139.7704482
3820,4eb60fd7e30006eb126bf6fa,General Entertainment,35.650325,139.683697
3894,4d55b3599e508cfa3f60039b,Event Space,35.6653507,139.7292602
4489,4b558892f964a520b9e627e3,Event Space,35.66029497,139.7292709
4548,4f7bd6cfe4b0d04bd26e7798,Event Space,35.66157343,139.7326236
4577,4b05879cf964a5205b9c22e3,Hotel,35.65957252,139.7285938
4581,4f7b7e13e4b02e009009bec9,Event Space,35.66009504,139.7281487
4721,4d1579b3302da1cd9a24b093,General Entertainment,35.7064707,139.7715303
4847,4ba8cae0f964a5203bef39e3,Hotel,35.73509574,139.710474
4925,4e5f5fbd18a870f60f383fb3,Nightlife Spot,35.68914536,139.7081284
4987,4b5e7393f964a520448f29e3,Hotel,35.66410423,139.7604436
5000,4d249c3a5d7d2d434dc59310,Event Space,35.66216584,139.667623
5003,4d249c3a5d7d2d434dc59310,Event Space,35.66216584,139.667623
5020,4b682c38f964a520526a2be3,Hotel,35.66711628,139.7635133
5035,4b55a018f964a52091e927e3,Convention Center,35.66233473,139.7075129
5174,4b5e7393f964a520448f29e3,Hotel,35.66410423,139.7604436
5365,4b558892f964a520b9e627e3,Event Space,35.66029497,139.7292709
5396,4b6ba2bff964a52099132ce3,Hotel,35.70080152,139.7489262
5408,4b5982cbf964a520a58a28e3,Event Space,35.69997164,139.7708103
5662,4e972dc7e5e8c81815bc525e,General Entertainment,35.69951858,139.7704482
5686,4d70d926419da35d60520bd8,General Entertainment,35.71258,139.653876
5726,4b76b0a9f964a520a0582ee3,Hotel,35.63141017,139.8734343
5743,4cffada64f56b60c07eb9d37,Event Space,35.70020035,139.5062828
5819,4d665761e07aa35d05bca78f,Brewery,35.671843,139.797202
6070,4ca33967750ca0938bc81667,Other Nightlife,35.66686,139.755769
6304,4ef37994b8f77e0f96f7d0ac,Event Space,35.79130436,139.6279679
6317,4c19f600fe5a76b00a530415,Brewery,35.7305387,139.7154441
6339,4d6275af865a224b5f32c285,Other Nightlife,35.66206665,139.7307677
