,ID,Category,lat,lng
57,4e65fe028877954de9acd8bf,Government Building,35.62057677,139.5699236
77,4bdd23fbf219c9b659161210,Government Building,35.75691066,139.875623
116,4b6f3ddff964a5208ce62ce3,Office,35.62312387,139.7491693
134,4c96f8a2533aa093e95ad645,Office,35.67304699,139.7599232
194,4e81711e7ee6477bdbff8449,Government Building,35.61558798,139.5770046
196,4e816ff3b8f76bc19bbabe10,Government Building,35.6153961,139.5770945
208,4b593260f964a520f58028e3,Government Building,35.57629697,139.6556497
211,4e81a74d0cd677d9b2a2a5b0,Government Building,35.6152064,139.5791048
223,4e7c49648231553e335b1c85,Government Building,35.61495874,139.5790535
274,4d46e0591ed56dcb3f8aca54,Office,35.74225412,139.8105633
339,4b874392f964a5203cb931e3,Office,35.64024432,139.7459307
369,4cbe677719ceb1f7ce8f1dcd,Office,35.62540609,139.7420436
371,4b66914df964a52065242be3,Office,35.625393,139.742049
377,4b5d1cc4f964a5202f5329e3,Office,35.62759063,139.7419685
416,4b5538e6f964a52011df27e3,Office,35.70931543,139.7729781
426,4b972b47f964a520c9fa34e3,Government Building,35.57479604,139.6572053
452,4cff2e6e1ebe6dcbee0b8091,Office,35.70305806,139.774662
492,4daf823e5da3f2f3d2a82527,Office,35.64779322,139.6800732
513,4b56bd3df964a520f01928e3,Office,35.72989638,139.7474241
585,4ba9be42f964a5207e363ae3,Office,35.70036154,139.7504282
590,4ba9be42f964a5207e363ae3,Office,35.70036154,139.7504282
597,4b5ce00df964a520b54829e3,Office,35.68279486,139.6868733
600,4c73488f8efc3704ea62157d,Office,35.55480815,139.7403221
628,4f387173e4b0ea2d7efc515f,Office,35.6563722,139.6993375
629,4f387173e4b0ea2d7efc515f,Office,35.6563722,139.6993375
630,4f6530a0e4b04d4b1657f0da,Office,35.70971184,139.6124519
662,4b7a3bbaf964a5200e272fe3,Office,35.66470567,139.7395062
676,4b5e2045f964a5200e7f29e3,Office,35.61907458,139.7305632
710,4b569977f964a520551628e3,Government Building,35.710036,139.810697
712,4b83544bf964a520ab0231e3,Office,35.6656039,139.7313015
762,4be76bcd9a54a59307ed0811,Office,35.62656595,139.7413945
771,4cdcd1ca7dc62c0f6d84e8f2,Office,35.65448718,139.7570795
777,4da2683922a5f04df4921055,Office,35.65823253,139.7085368
804,4e07f56dfa767637fd2e66f8,Office,35.65287337,139.6013352
805,4b83544bf964a520ab0231e3,Office,35.6656039,139.7313015
818,4df066d8ae6066d602d5dfa8,Office,35.64906992,139.7526227
823,4b812faff964a520c09930e3,Government Building,35.70239156,139.7504684
829,4c96f8a2533aa093e95ad645,Office,35.67304699,139.7599232
839,4c53e0211b46c9b6123fabcd,Office,35.69329525,139.6651393
841,4bbe873a006dc9b6f762fb3f,Office,35.699135,139.765247
867,4f4d1641e4b00b42c3ddbb00,Office,35.65265847,139.7441626
903,4bb1a29ef964a520f59c3ce3,Office,35.6887772,139.7350645
904,4b99dc94f964a520dd9435e3,Office,35.62560667,139.7406703
910,4c71f0a9376da093d156a5c6,Government Building,35.7068138,139.6944254
911,4c71f0a9376da093d156a5c6,Government Building,35.7068138,139.6944254
914,4deae5011fc7d5135cb4c99b,Office,35.66155366,139.7067515
915,4c6a01052c29d13af6df0c41,Office,35.67851152,139.787271
919,4b7e3467f964a520fde52fe3,Office,35.708582,139.7376028
924,4b5654eff964a520bb0b28e3,Office,35.64935432,139.7481108
926,4b57cc51f964a520a94128e3,Office,35.67125155,139.7470593
966,4b565e54f964a520790d28e3,Office,35.70839249,139.7395088
980,4bc19206461576b076277c32,Government Building,35.69727283,139.7717947
991,4b662f05f964a520f5172be3,Government Building,35.71261061,139.7799593
1025,4b7b415df964a520df5a2fe3,Government Building,35.72935203,139.7181773
1042,4f69e57fe4b00d930a3dd075,Government Building,35.70607298,139.7016702
1055,4ee6b3a2991194490328f3b8,Office,35.67985792,139.6363601
1095,4c1c14c1eac020a199ff45c2,Factory,35.54200436,139.7887301
1143,4e7febd3722eea96b85b304f,Office,35.67038112,139.6307718
1148,4f643c28e4b036e3e7c47c56,Office,35.58675901,139.7061288
1172,4d099da94abf721e15d2c45e,Office,35.6281768,139.7403221
1178,4e6ff34bb9935ff0b517d453,Office,35.627918,139.7400127
1211,4e3267f318a846d7ed073640,Office,35.68977816,139.710465
1245,4cff2e6e1ebe6dcbee0b8091,Office,35.70305806,139.774662
1272,4e3373e3a809117a228b44d2,Office,35.734536,139.841174
1274,4b625e3cf964a5209a442ae3,Government Building,35.64137892,139.6981063
1306,4f7bc4d2e4b03d7e4e7109a0,Factory,35.59782164,139.7344097
1355,4c074a85b4aa0f47ae776562,Office,35.62791765,139.7764671
1362,4b7e3467f964a520fde52fe3,Office,35.708582,139.7376028
1370,4c7db664d65437048d67c1a2,Office,35.62421568,139.6278781
1401,4d3fcbb54677548109f951f4,Government Building,35.71436593,139.7050613
1409,4bf353b2e5eba593857e1e90,Office,35.62237989,139.7274551
1410,4b5d14c9f964a520b65129e3,Office,35.694153,139.687614
1423,4bb1a29ef964a520f59c3ce3,Office,35.6887772,139.7350645
1427,4f7bcac4e4b0726c38da45d4,Government Building,35.7134026,139.811037
1452,4bb5623c6edc76b039b82f1c,Government Building,35.69244436,139.758512
1488,4bdf9ada89ca76b046c15d5e,Office,35.69031737,139.7729883
1489,4c73488f8efc3704ea62157d,Office,35.55480815,139.7403221
1504,4b9a09bcf964a5200e9c35e3,Government Building,35.70818882,139.7521287
1526,4bbbede9e4529521806b55a4,Office,35.62666624,139.7403699
1538,4e42597762843d3dc35c8e06,Office,35.655953,139.696695
1543,4b60fbaff964a5209a042ae3,Office,35.57288495,139.6652412
1561,4d0ad28f78938eec21589336,Office,35.57390595,139.6658421
1566,4e1c2d9018a8c65001f91bcc,Factory,35.74416399,139.7538954
1569,4c2e8b3e16adc9287b1fbc9c,Office,35.65785416,139.6978569
1574,4b5ec744f964a520609829e3,Government Building,35.68024065,139.7436141
1595,4c2076bd8b3aa59362f79e5f,Office,35.57718062,139.7155438
1607,4ca5144544a8224b53aff63f,Office,35.60987928,139.7492507
1609,4be0f2b15567a59345f80b02,Office,35.57876644,139.7493553
1631,4dccb00422718eed7a0d546d,Office,35.69828795,139.745252
1654,4c74b1e5b474a1cd6c65b7bf,Office,35.725092,139.712994
1657,4b85dac5f964a520797631e3,Government Building,35.68434168,139.7429609
1685,4f4f10d2e4b0e52480d35598,Office,35.67913596,139.7705269
1693,4b63ae30f964a520ac8b2ae3,Recycling Facility,35.70054886,139.7711992
1749,4b8f2f39f964a520c34c33e3,Office,35.6230549,139.7506764
1778,4b863862f964a520108331e3,Office,35.70356397,139.4743292
1822,4bc19206461576b076277c32,Government Building,35.69727283,139.7717947
1831,4c6539da3f69c9b6c7948ad9,Gas Station / Garage,35.655521,139.74551
1854,4df066d8ae6066d602d5dfa8,Office,35.64906992,139.7526227
1886,4c96f8a2533aa093e95ad645,Office,35.67304699,139.7599232
1955,4ba98de8f964a5202b2e3ae3,Office,35.62803148,139.7159179
2006,4bbac8b753649c742f7249fb,Office,35.69988237,139.7724139
2008,4bb061def964a5204d433ce3,Government Building,35.69888908,139.6363109
2016,4b28b233f964a520b39424e3,Office,35.66490615,139.6960759
2059,4b57ce45f964a520f84128e3,Office,35.68792323,139.6948045
2070,4b5ce00df964a520b54829e3,Office,35.68279486,139.6868733
2096,4ba9be42f964a5207e363ae3,Office,35.70036154,139.7504282
2098,4b83544bf964a520ab0231e3,Office,35.6656039,139.7313015
2180,4e1c2d9018a8c65001f91bcc,Factory,35.74416399,139.7538954
2217,4b6d53c4f964a52035712ce3,Government Building,35.70981422,139.8003066
2237,4bbbede9e4529521806b55a4,Office,35.62666624,139.7403699
2245,4b28b233f964a520b39424e3,Office,35.66490615,139.6960759
2277,4b569977f964a520551628e3,Government Building,35.710036,139.810697
2312,4d7d543ae04d6ea8d17f0bd6,Gas Station / Garage,35.635992,139.7520711
2447,4b552d87f964a520d5dd27e3,Office,35.69115171,139.7569782
2510,4e8a58fe9a524097dc184b6e,Office,35.65630329,139.754634
2511,4dbfa43e043706a03202e59b,Government Building,35.63160953,139.6378792
2524,4cd3d7d49828b60ca68bd784,Government Building,35.61310874,139.7503531
2549,4b541445f964a520acb127e3,Office,35.62359075,139.7496933
2552,4b83b5f5f964a520c90d31e3,Office,35.64587567,139.7091007
2690,4e3a6ebb2271ead2c0efd920,Office,35.67038995,139.7071255
2797,4e13d760227146630ab7d8db,Office,35.69184009,139.7103935
2807,4f7c06f6e4b02cdb82a86cd6,Office,35.62476186,139.7382614
2953,4e7ef6f0f790cfd3b9c26f10,Government Building,35.616781,139.564465
2958,4bbac8b753649c742f7249fb,Office,35.69988237,139.7724139
2971,4e81a9860cd677d9b2a2e5bd,Government Building,35.61563377,139.5655462
2994,4bcba2d8937ca593d90aaa92,Office,35.79710924,139.6017051
3054,4e2c11b581dce8c49d108a28,Government Building,35.61127487,139.7412497
3136,4da6c5246e81162ae784a0a1,Office,35.65860384,139.7081298
3173,4c3e4c30ca012d7f8f532fbe,Office,35.67935688,139.7795141
3272,4be905e0c5220f47256aaaca,Office,35.67860793,139.7616864
3316,4c3c049686ce328f0241ab2d,Office,35.62678833,139.632926
3330,4da3cb3f63b5a35d1db5191a,Office,35.60303397,139.5528996
3669,4f18f97c754afbc24010d083,Office,35.66073736,139.6994796
3733,4b5538e6f964a52011df27e3,Office,35.70931543,139.7729781
3872,4b5bf650f964a5202c1f29e3,Office,35.66017643,139.7302888
3936,4b569977f964a520551628e3,Government Building,35.710036,139.810697
3956,4e81663346908a195efb94e8,Government Building,35.61463729,139.5661819
3958,4e8165ee722e6ca6cc9c5f32,Government Building,35.61444431,139.5663831
3962,4e816578722e6ca6cc9c37e4,Government Building,35.61396133,139.5673326
3963,4e817c5ee5faa0e0d6a8f3c7,Government Building,35.61311092,139.5693415
4054,4b87c674f964a52065cb31e3,Gas Station / Garage,35.66689904,139.6136817
4071,4f09d84fe4b0d6422c4aab7d,Gas Station / Garage,35.74170932,139.8149836
4077,4d46e0591ed56dcb3f8aca54,Office,35.74225412,139.8105633
4095,4e7c49648231553e335b1c85,Government Building,35.61515924,139.5791331
4132,4be76bcd9a54a59307ed0811,Office,35.62656595,139.7413945
4136,4cbe677719ceb1f7ce8f1dcd,Office,35.62540609,139.7420436
4140,4b66914df964a52065242be3,Office,35.625393,139.742049
4171,4cdcd1ca7dc62c0f6d84e8f2,Office,35.65493344,139.7570047
4172,4cdcd1ca7dc62c0f6d84e8f2,Office,35.65493344,139.7570047
4213,4bbac8b753649c742f7249fb,Office,35.69965384,139.772374
4243,4b874392f964a5203cb931e3,Office,35.64024432,139.7460005
4305,4b1c8314f964a5200a0824e3,Office,35.69917443,139.772559
4308,4b5d14c9f964a520b65129e3,Office,35.694153,139.687614
4354,4c07717a8a81c9b695382790,Office,35.68377742,139.7821292
4382,4daf823e5da3f2f3d2a82527,Office,35.64779322,139.6800732
4395,4c96f8a2533aa093e95ad645,Office,35.67304699,139.7599232
4402,4cff2e6e1ebe6dcbee0b8091,Office,35.70305806,139.774662
4474,4c73488f8efc3704ea62157d,Office,35.55474173,139.7402322
4503,4b569977f964a520551628e3,Government Building,35.710036,139.810697
4569,4b5e2045f964a5200e7f29e3,Office,35.61918407,139.7313015
4571,4b7a5e91f964a520d02a2fe3,Office,35.72908591,139.7190202
4574,4f4c4336e4b0acb46641861e,Government Building,35.74271395,139.8477656
4576,4b568a40f964a520851428e3,Office,35.6866074,139.6889305
4582,4f6530a0e4b04d4b1657f0da,Office,35.70971184,139.6124519
4591,4c2e8b3e16adc9287b1fbc9c,Office,35.65785416,139.6978569
4597,4f387173e4b0ea2d7efc515f,Office,35.6563722,139.6993375
4690,4b552d87f964a520d5dd27e3,Office,35.69115171,139.7569782
4704,4b7a3bbaf964a5200e272fe3,Office,35.66470567,139.7395062
4761,4b5ce00df964a520b54829e3,Office,35.68279486,139.6868733
4767,4e65fe028877954de9acd8bf,Government Building,35.62057677,139.5699236
4771,4b94c4bbf964a520bd8234e3,Government Building,35.66041537,139.7037437
4926,4da2683922a5f04df4921055,Office,35.65823253,139.7085368
4985,4cad5b952303a143b5c1e5f0,Office,35.70293391,139.7407562
5202,4bf21c72189f0f47880fb862,Office,35.66086,139.7516033
5247,4c46a951417b20a1a44bdba9,Office,35.63024,139.742777
5302,4c1f523db306c928463668b7,Government Building,35.67091163,139.7559857
5304,4cb4361cef1b3704a9ec5600,Government Building,35.68803425,139.7850958
5316,4b5a1843f964a520cfac28e3,Office,35.67470295,139.7066224
5345,4b812ce2f964a5205f9930e3,Office,35.7310438,139.6978109
5398,4bcba2d8937ca593d90aaa92,Office,35.79710924,139.6017051
5438,4bf6349f004ed13a552042a0,Government Building,35.6840541,139.7744662
5465,4b591afaf964a520c87c28e3,Office,35.70730088,139.7947933
5466,4c54e77172cf0f47229246d5,Office,35.65640446,139.7960023
5568,4c318f9b213c2d7f0e2c345d,Office,35.67828528,139.7672521
5694,4b5f9f74f964a5202ac529e3,Government Building,35.75127084,139.7092456
5784,4b54efd5f964a52011d427e3,Office,35.58041957,139.7552579
5793,4bcfb4fe046076b033ef6e71,Government Building,35.68582748,139.6682319
5826,4e91d61e5c5c4562f08457e5,Gas Station / Garage,35.69548166,139.6174409
5845,4b8a54ddf964a520dc6832e3,Gas Station / Garage,35.63520773,139.6148479
5858,4eb903c361af0dda91da37a6,Office,35.65747561,139.7029816
5953,4d7944a11623a093c63d716e,Office,35.58070766,139.7553028
5956,4b54efd5f964a52011d427e3,Office,35.58041957,139.7552579
5991,4b616595f964a52025122ae3,Office,35.6552411,139.6937585
6038,4f7d74334fc677cf994b9259,Office,35.70148111,139.7759414
6054,4c0ed2eb2466a5932ab77921,Government Building,35.65362829,139.5675998
6096,4c1c7e5db4e62d7f8533db93,Government Building,35.58691169,139.705748
6170,4cdcd1ca7dc62c0f6d84e8f2,Office,35.65448718,139.7570795
6179,4d8e9efe835b530cdea4a1b6,Gas Station / Garage,35.6284618,139.6491124
6235,4f1a62bbe4b03543a0354a45,Gas Station / Garage,35.75245834,139.8703737
6258,4eca29c74690116a8f32970e,Government Building,35.69813324,139.6388081
6293,4cfd89b8d7206ea858bd4969,Office,35.66988845,139.7580678
6384,4e9a1d9d02d5df1b502155eb,Gas Station / Garage,35.65274843,139.5615505
6458,4b5f9f74f964a5202ac529e3,Government Building,35.75127084,139.7092456
6463,4c0ed2eb2466a5932ab77921,Government Building,35.65362829,139.5675998
6600,4ddbb915814d62912d6606ef,Office,35.64633787,139.5296288
6663,4d57b6598147f04d24c39954,Gas Station / Garage,35.57209955,139.6598929
6698,4e81711e7ee6477bdbff8449,Government Building,35.61558798,139.5770046
6706,4e819f890cd677d9b2a1cb7e,Government Building,35.61436472,139.5788258
6707,4e81a74d0cd677d9b2a2a5b0,Government Building,35.6152064,139.5791048
6710,4e7c49648231553e335b1c85,Government Building,35.61495874,139.5790535
6789,4b568987f964a520671428e3,Government Building,35.68855499,139.5150375
6892,4b568987f964a520671428e3,Government Building,35.68855499,139.5150375
6980,4f6530a0e4b04d4b1657f0da,Office,35.70971184,139.6124519
7043,4b568987f964a520671428e3,Government Building,35.68855499,139.5150375
7073,4c411a91ff711b8d93891105,Gas Station / Garage,35.76299409,139.5374715
7088,4b7077f2f964a520521c2de3,Government Building,35.66879424,139.8225436
7124,4bb62a65941ad13ab1fc1ee3,Government Building,35.71334236,139.7111553
7129,4c3dfd8aea36ef3bc3607285,Gas Station / Garage,35.525551,139.647446
7146,4bbac8b753649c742f7249fb,Office,35.69988237,139.7724139
7149,4bbac8b753649c742f7249fb,Office,35.69988237,139.7724139
7163,4b54fe5df964a520ffd627e3,Office,35.66730317,139.7277743
7218,4b8648f7f964a520ab8431e3,Office,35.66536813,139.7113538
7232,4cb2e4a31463a1438858b0a9,Government Building,35.66993699,139.8903392
7233,4b5676d7f964a520931128e3,Government Building,35.68018479,139.7287774
7263,4c0ca3062b899c74026af158,Government Building,35.68229594,139.7087078
7268,4bbac8b753649c742f7249fb,Office,35.69988237,139.7724139
7276,4bbac8b753649c742f7249fb,Office,35.69988237,139.7724139
7279,4df56bdbfa76abc3d8739193,Gas Station / Garage,35.58524519,139.7560126
7372,4b5c3d00f964a520322829e3,Government Building,35.73068893,139.712373
7411,4bbac8b753649c742f7249fb,Office,35.69988237,139.7724139
7440,4b7667ddf964a520414b2ee3,Government Building,35.71091134,139.8010435
7570,4b78eab3f964a5203de62ee3,Government Building,35.67265479,139.7491515
7571,4b78eab3f964a5203de62ee3,Government Building,35.67265479,139.7491515
7585,4bbac8b753649c742f7249fb,Office,35.69988237,139.7724139
7799,4b3f1743f964a520eba325e3,Office,35.65815055,139.6985221
7818,4b8a2ce4f964a520d96232e3,Gas Station / Garage,35.66250325,139.5217977
7826,4bbac8b753649c742f7249fb,Office,35.69988237,139.7724139
7919,4bce9d18fb84c9b64b25243e,Government Building,35.62786533,139.7718376
8009,4e42597762843d3dc35c8e06,Office,35.655953,139.696695
8021,4f17ad52e4b0f22afcdbb68a,Government Building,35.72194208,139.7319666
8036,4b57d0b0f964a5206d4228e3,Office,35.67176578,139.7345978
8151,4b569977f964a520551628e3,Government Building,35.710036,139.810697
8254,4b7077f2f964a520521c2de3,Government Building,35.66879424,139.8225436
8273,4b666e70f964a52038212be3,Government Building,35.71068974,139.8013794
8289,4b667ce9f964a52077222be3,Government Building,35.64775887,139.6447653
8341,4f3502d5e4b0c484791901da,Office,35.70023956,139.7702202
8366,4b9a09bcf964a5200e9c35e3,Government Building,35.70818882,139.7521287
8392,4c0ed2eb2466a5932ab77921,Government Building,35.65362829,139.5675998
8558,4bbac8b753649c742f7249fb,Office,35.69988237,139.7724139
8569,4b5e7f11f964a520e49029e3,Government Building,35.71185708,139.7740155
8573,4c945cf082b56dcb75c7ceaa,Government Building,35.6853569,139.7553796
8595,4b56bd3df964a520f01928e3,Office,35.72989638,139.7474241
8667,4db395246e8179a9136d07da,Gas Station / Garage,35.529774,139.72983
8680,4f33ccdbe4b00105522a3ebf,Office,35.7035504,139.7447281
8697,4b63bb1df964a520b18e2ae3,Gas Station / Garage,35.81786559,139.560088
8718,4b569977f964a520551628e3,Government Building,35.710036,139.810697
8742,4b56a5e8f964a5208e1728e3,Government Building,35.65856462,139.7454768
8751,4e81663346908a195efb94e8,Government Building,35.61463729,139.5661819
8754,4e8165ee722e6ca6cc9c5f32,Government Building,35.61444431,139.5663831
8758,4e816578722e6ca6cc9c37e4,Government Building,35.61396133,139.5673326
8773,4e817c5ee5faa0e0d6a8f3c7,Government Building,35.61311092,139.5693415
8835,4b8f2f39f964a520c34c33e3,Office,35.62284283,139.7507413
8889,4bbac8b753649c742f7249fb,Office,35.69988237,139.7724139
8947,4b57d947f964a520b94328e3,Government Building,35.69406638,139.7536361
8998,4bbac8b753649c742f7249fb,Office,35.69988237,139.7724139
9062,4f643c28e4b036e3e7c47c56,Office,35.58675901,139.7061288
9118,4b5ec6c8f964a520559829e3,Government Building,35.67580981,139.7448921
9159,4bde891a921d9521e9f76832,Gas Station / Garage,35.64046558,139.7943091
9161,4b88a915f964a5204b0732e3,Government Building,35.58911474,139.6773568
9363,4c1b12c18b3aa593bdb3965f,Government Building,35.60374491,139.5058858
9372,4dcb45c4d22d7ffe9d2b4932,Professional & Other Places,35.66355302,139.7309922
9388,4bdd23fbf219c9b659161210,Government Building,35.75691066,139.875623
9525,4c3c049686ce328f0241ab2d,Office,35.62678833,139.632926
9536,4b56a5e8f964a5208e1728e3,Government Building,35.65856462,139.7454768
9671,4be0f2b15567a59345f80b02,Office,35.57876644,139.7493553
9831,4b5e7f11f964a520e49029e3,Government Building,35.71185708,139.7740155
9979,4b9d7c60f964a520ccaf36e3,Government Building,35.64203907,139.7340265
9982,4bbb2c5a1261d13abb53eb98,Government Building,35.6421552,139.7339648
9998,4b569977f964a520551628e3,Government Building,35.710036,139.810697
10024,4e7c49648231553e335b1c85,Government Building,35.61495874,139.5790535
10048,4b83544bf964a520ab0231e3,Office,35.6656039,139.7313015
10110,4e8d78ea77c8aa870707dba6,Office,35.653953,139.705662
10318,4c0ed2eb2466a5932ab77921,Government Building,35.65362829,139.5675998
10455,4bbac8b753649c742f7249fb,Office,35.69988237,139.7724139
10475,4bfc38dce05e0f47d05ccfa8,Office,35.67904314,139.721337
10825,4b833510f964a5206dfd30e3,Office,35.67131256,139.7533035
10850,4e78fe3a45dd3e75454c2add,Office,35.69905898,139.7528529
10924,4b6f3ddff964a5208ce62ce3,Office,35.62312387,139.7491693
11036,4e816ff3b8f76bc19bbabe10,Government Building,35.6153961,139.5770945
11062,4e81a74d0cd677d9b2a2a5b0,Government Building,35.6152064,139.5791048
11080,4e15863e18a8addae8ca4e6f,Gas Station / Garage,35.70374556,139.7084271
11087,4b5d14c9f964a520b65129e3,Office,35.694153,139.687614
11094,4b569977f964a520551628e3,Government Building,35.710036,139.810697
11129,4d46e0591ed56dcb3f8aca54,Office,35.74225412,139.8105633
11209,4b874392f964a5203cb931e3,Office,35.64024432,139.7459307
11223,4b1c8314f964a5200a0824e3,Office,35.69917443,139.772559
11225,4be76bcd9a54a59307ed0811,Office,35.62656595,139.7413945
11227,4cbe677719ceb1f7ce8f1dcd,Office,35.62540609,139.7420436
