,ID,Category,lat,lng
827,4c1c14c1eac020a199ff45c2,Factory,35.54200436,139.7887301
991,4f7bc4d2e4b03d7e4e7109a0,Factory,35.59782164,139.7344097
1190,4e1c2d9018a8c65001f91bcc,Factory,35.74416399,139.7538954
1761,4da232f89935a0933dacb06f,River,35.62325637,139.571085
2658,4e9c1b0af9f42a0307ff53d5,River,35.53638208,139.7035003
3326,4d65f2e72b0b5941f7f44629,River,35.64420789,139.7008225
3333,4dce210a7d8b975f18c78ed5,River,35.65449297,139.8424123
4165,4b762764f964a5206a402ee3,River,35.54464134,139.7221178
4229,4bb6afbc2ea195219f20ac2f,River,35.65356512,139.5624697
4353,4e3deaa22271d21e86fda99f,Harbor / Marina,35.54589416,139.751964
7804,4efe83cd0e01089c546f3d4a,River,35.61054404,139.6258763
8841,4f136104e4b03f4c01aae460,Factory,35.58064712,139.7549883
9905,4ede4823f5b921398d29c969,River,35.6931689,139.509201
10257,4f64401be4b045fbd38d1607,Factory,35.70430278,139.5812361
10574,4b5bb7f8f964a520f91129e3,River,35.78543236,139.7336724
10695,4c43d8c936d6a59398c369a8,Harbor / Marina,35.65193052,139.8314524
11011,4d2752a9d86aa09077e21dc0,River,35.79031697,139.7217607
13278,4e883ccd02d572671beab64e,Harbor / Marina,35.62398833,139.7241779
13613,4c6a6897c946e21e6e8fec8e,Factory,35.754489,139.753811
15487,4ee21a480e61689f539a5484,River,35.61035461,139.6260465
15758,4ed34c800aafd186924ead79,River,35.70206136,139.7550482
16291,4b55458ef964a52074e027e3,Factory,35.58339475,139.6402502
16904,4f6d67d4e4b0d638a100dd6b,River,35.6158801,139.55874
17260,4f363850e4b0532467d8fdde,Factory,35.52550701,139.7355322
17276,4bde61446198c9b6e9db13ff,River,35.53428672,139.6358442
17679,4f979b00e4b0623702cd6287,Factory,35.782274,139.663462
18640,4f40467ae4b0102f0d5f06b9,Harbor / Marina,35.654438,139.84243
19350,4eb9f98f61af5dcdb44cb982,River,35.70279594,139.6876602
19473,4eb8b0cd61af0dda91be0541,River,35.7449084,139.8953616
19939,4df48922b61cbd3ec01f23b1,Factory,35.66301297,139.8346357
20079,4b8f5960f964a520285233e3,Factory,35.53841679,139.7930757
22364,4f4e33001081b9d9ac5a4d7a,Factory,35.57474587,139.7134399
22403,4f2b419ee4b09513ae0cf2a0,Factory,35.53328206,139.7675217
22484,4df97209d4c064db03a94d87,Factory,35.65297952,139.706168
22582,4ef80466b8f72ebea8c95e15,Factory,35.79401177,139.6834379
22934,4e278da3315135e638ec0c4e,Factory,35.75969451,139.7518873
24406,4ec1ecbc0aaf6450bba40dc2,Factory,35.58541217,139.7473778
25496,4dbc130643a1d8504b809a6e,Harbor / Marina,35.63942098,139.7545092
25569,4b9d4f1af964a52054a236e3,Factory,35.66311924,139.8162603
26415,4e58889bd22d61e8f34ac43d,Factory,35.55466131,139.782709
27221,4f6439ace4b08b476f2b6fb8,Factory,35.57279768,139.7068906
27481,4eac808c9a52ba78471503ab,Harbor / Marina,35.56343295,139.838354
27788,4fb6e01de4b05fd941f5e5bc,Factory,35.749713,139.757627
29836,4f7fc666e4b0e533abacf632,River,35.601409,139.6142841
29950,4fc07a83e4b0cec931d34550,Factory,35.673558,139.780109
29964,4e827a8202d50bcdae12a5de,Factory,35.70798912,139.808262
30420,4fc1c22ce4b02db73e4cc770,Factory,35.70306697,139.7871231
30808,4f9a278ee4b0c1fd7562fee5,Factory,35.52771242,139.7746356
31162,4fc378f2a17cb87d1791f9af,River,35.5150505,139.6784699
31164,4fc375b8a17cb87d179190e4,River,35.53648685,139.7035432
31616,4fc5ac2ae4b0bf27800b3f02,Factory,35.786426,139.689187
31644,4fc5bba6e4b041bde3139341,Factory,35.795451,139.680921
