,ID,Category,lat,lng
55,4e65fe028877954de9acd8bf,Government Building,35.62057677,139.5699236
72,4bdd23fbf219c9b659161210,Government Building,35.75691066,139.875623
175,4e81711e7ee6477bdbff8449,Government Building,35.61558798,139.5770046
177,4e816ff3b8f76bc19bbabe10,Government Building,35.6153961,139.5770945
187,4b593260f964a520f58028e3,Government Building,35.57629697,139.6556497
190,4e81a74d0cd677d9b2a2a5b0,Government Building,35.6152064,139.5791048
200,4e7c49648231553e335b1c85,Government Building,35.61495874,139.5790535
343,4b972b47f964a520c9fa34e3,Government Building,35.57479604,139.6572053
545,4b569977f964a520551628e3,Government Building,35.710036,139.810697
621,4b812faff964a520c09930e3,Government Building,35.70239156,139.7504684
683,4c71f0a9376da093d156a5c6,Government Building,35.7068138,139.6944254
730,4bc19206461576b076277c32,Government Building,35.69727283,139.7717947
736,4b662f05f964a520f5172be3,Government Building,35.71261061,139.7799593
766,4b7b415df964a520df5a2fe3,Government Building,35.72935203,139.7181773
780,4f69e57fe4b00d930a3dd075,Government Building,35.70607298,139.7016702
965,4b625e3cf964a5209a442ae3,Government Building,35.64137892,139.6981063
1062,4d3fcbb54677548109f951f4,Government Building,35.71436593,139.7050613
1084,4f7bcac4e4b0726c38da45d4,Government Building,35.7134026,139.811037
1103,4bb5623c6edc76b039b82f1c,Government Building,35.69244436,139.758512
1141,4b9a09bcf964a5200e9c35e3,Government Building,35.70818882,139.7521287
1196,4b5ec744f964a520609829e3,Government Building,35.68024065,139.7436141
1256,4b85dac5f964a520797631e3,Government Building,35.68434168,139.7429609
1488,4bb061def964a5204d433ce3,Government Building,35.69888908,139.6363109
1610,4b6d53c4f964a52035712ce3,Government Building,35.70981422,139.8003066
1777,4dbfa43e043706a03202e59b,Government Building,35.63160953,139.6378792
1781,4cd3d7d49828b60ca68bd784,Government Building,35.61310874,139.7503531
2027,4e7ef6f0f790cfd3b9c26f10,Government Building,35.616781,139.564465
2035,4e81a9860cd677d9b2a2e5bd,Government Building,35.61563377,139.5655462
2079,4e2c11b581dce8c49d108a28,Government Building,35.61127487,139.7412497
2585,4e81663346908a195efb94e8,Government Building,35.61463729,139.5661819
2587,4e8165ee722e6ca6cc9c5f32,Government Building,35.61444431,139.5663831
2589,4e816578722e6ca6cc9c37e4,Government Building,35.61396133,139.5673326
2590,4e817c5ee5faa0e0d6a8f3c7,Government Building,35.61311092,139.5693415
2687,4b8caa99f964a520e1d932e3,Military Base,35.69295106,139.7267926
2757,4f4c4336e4b0acb46641861e,Government Building,35.74271395,139.8477656
2825,4b94c4bbf964a520bd8234e3,Government Building,35.66041537,139.7037437
