,ID,Category,lat,lng
1095,4c1c14c1eac020a199ff45c2,Factory,35.54200436,139.7887301
1306,4f7bc4d2e4b03d7e4e7109a0,Factory,35.59782164,139.7344097
1566,4e1c2d9018a8c65001f91bcc,Factory,35.74416399,139.7538954
1693,4b63ae30f964a520ac8b2ae3,Recycling Facility,35.70054886,139.7711992
2180,4e1c2d9018a8c65001f91bcc,Factory,35.74416399,139.7538954
5819,4d665761e07aa35d05bca78f,Brewery,35.671843,139.797202
6317,4c19f600fe5a76b00a530415,Brewery,35.7305387,139.7154441
13439,4b63ae30f964a520ac8b2ae3,Recycling Facility,35.70054886,139.7711992
14062,4f83d0bce4b072142db6748a,Recycling Facility,35.665377,139.774044
17220,4b0587a1f964a5208c9d22e3,Brewery,35.62289444,139.7472525
19021,4b73332af964a52076a12de3,Brewery,35.691521,139.706542
23699,4f136104e4b03f4c01aae460,Factory,35.58064712,139.7549883
25982,4e6b41f2b993d5439faac873,Brewery,35.706655,139.775005
26104,4f23d57b0cd681bbfc3db251,Winery,35.69766298,139.7773291
26724,4b63ae30f964a520ac8b2ae3,Recycling Facility,35.70054886,139.7711992
26738,4b0587a1f964a5208c9d22e3,Brewery,35.62289444,139.7472525
29236,4f64401be4b045fbd38d1607,Factory,35.70430278,139.5812361
38256,4d22a520bdd7a0932d57ffce,Brewery,35.66596957,139.761495
39948,4d22a520bdd7a0932d57ffce,Brewery,35.66596957,139.761495
44293,4d22a520bdd7a0932d57ffce,Brewery,35.66596957,139.761495
45691,4c6a6897c946e21e6e8fec8e,Factory,35.754489,139.753811
47975,4e1c2d9018a8c65001f91bcc,Factory,35.74343373,139.7554275
48290,4f64401be4b045fbd38d1607,Factory,35.70430278,139.5812361
49506,4b63ae30f964a520ac8b2ae3,Recycling Facility,35.70054886,139.7711992
50217,4b63ae30f964a520ac8b2ae3,Recycling Facility,35.70054886,139.7711992
50390,4c6a6897c946e21e6e8fec8e,Factory,35.754489,139.753811
51524,4df89062a809df9984e9e25a,Winery,35.68871853,139.6988779
51578,4df89062a809df9984e9e25a,Winery,35.68871853,139.6988779
52192,4e1c2d9018a8c65001f91bcc,Factory,35.74343373,139.7554275
52486,4b5a83c7f964a52028c928e3,Brewery,35.65960252,139.4783214
52786,4b5a83c7f964a52028c928e3,Brewery,35.65960252,139.4783214
53302,4b63ae30f964a520ac8b2ae3,Recycling Facility,35.70054886,139.7711992
57372,4b55458ef964a52074e027e3,Factory,35.58339475,139.6402502
58600,4b63ae30f964a520ac8b2ae3,Recycling Facility,35.70054886,139.7711992
58745,4ba8a8b8f964a52030e539e3,Brewery,35.69535159,139.7004104
60584,4d22a520bdd7a0932d57ffce,Brewery,35.66596957,139.761495
61586,4c6a6897c946e21e6e8fec8e,Factory,35.754489,139.753811
63649,4f363850e4b0532467d8fdde,Factory,35.52550701,139.7355322
64393,4b62cf3ef964a5209f532ae3,Brewery,35.67224566,139.7383063
66531,4d22a520bdd7a0932d57ffce,Brewery,35.66596957,139.761495
67020,4f979b00e4b0623702cd6287,Factory,35.782274,139.663462
67676,4c6a6897c946e21e6e8fec8e,Factory,35.754489,139.753811
