,ID,Category,lat,lng
319,4d15ea5c380a8eecb8ba85fa,Medical Center,35.66550692,139.7686049
553,4f0d0bf0e4b0d2af7185d0cb,Medical Center,35.63279231,139.7148138
652,4b7a7ee2f964a520a22e2fe3,Medical Center,35.8359877,139.7959524
694,4f0fdc0fe4b090ed2e86fc5c,Medical Center,35.70747947,139.5616007
717,4b58e8f8f964a520547228e3,Medical Center,35.66916843,139.7462225
807,4f0ced4ae4b050cacec288a8,Medical Center,35.66949536,139.4943188
1019,4c1dcc03624b9c7414031304,Medical Center,35.69002328,139.7070917
1340,4b6c46bff964a5203b2d2ce3,Medical Center,35.73137261,139.5033538
1368,4e16a69e483b3ee57cdfc13c,Medical Center,35.80342779,139.7323997
1493,4f420a9fe4b005b5365ec211,Medical Center,35.578414,139.69986
1502,4b765440f964a52074482ee3,Medical Center,35.56283,139.568453
1539,4b5c0eb9f964a520b12229e3,Medical Center,35.64441965,139.5662677
1555,4bc7c93215a7ef3be42b7ada,Medical Center,35.53273262,139.6968055
1580,4f225aa6e4b0dc27b746cef2,Medical Center,35.722225,139.751939
1585,4f1e0abce4b0b73eef412c95,Medical Center,35.70289022,139.6523009
1600,4f1cbf06e4b05c50e3f9769c,Medical Center,35.673292,139.483433
1618,4b68dc97f964a52096902be3,Medical Center,35.71206615,139.765234
1683,4eb163464fc6015c82fb1054,Medical Center,35.69031519,139.6959579
1754,4c1dc940624b9c74ab021304,Medical Center,35.6674034,139.7624713
1794,4e65ba8615202f615259cfdf,Medical Center,35.53481275,139.5870066
2049,4c14d61082a3c9b6bdcdfdf8,Medical Center,35.66941776,139.6325997
2074,4f488f68e4b0bde5091d769c,Medical Center,35.61457066,139.5718785
2214,4b63aefaf964a520e38b2ae3,Medical Center,35.60058268,139.5488119
2676,4c491fd8b5eec9b6da9852a4,Medical Center,35.58336718,139.6417446
2689,4b66460bf964a520af1b2be3,Medical Center,35.6932996,139.6920097
2694,4ce76d12f8653704dccda9c4,Medical Center,35.64257409,139.7500726
2819,4dcde5c2d164679b8cf3008d,Medical Center,35.69567697,139.8199048
2959,4f435ee3e4b08c6c28d6b1de,Medical Center,35.69046957,139.771056
3203,4b53a576f964a52018a627e3,Medical Center,35.65474638,139.7178179
3424,4da8fc606e81162ae7b2c887,Medical Center,35.554154,139.645416
3426,4f066b878b81bf6714b6ddd3,Medical Center,35.73628781,139.5765207
3542,4d4761f5753aa0933bd4c4e0,Medical Center,35.621748,139.739348
3816,4c54dc661b46c9b652823acf,Medical Center,35.56237432,139.5697305
3895,4b5b90c8f964a5208b0729e3,Medical Center,35.68152687,139.7180271
4106,4b85e06bf964a5206e7731e3,Medical Center,35.60243642,139.7347426
4318,4f0aa937e4b0cc066e753360,Medical Center,35.69191198,139.7029746
4477,4c5f95f3de6920a156489464,Medical Center,35.67494916,139.7643971
4485,4b9199eaf964a520ebc833e3,Medical Center,35.69831839,139.7634906
4498,4e87c0c8550365456f9ec432,Medical Center,35.54420427,139.6420026
4506,4bc2980a461576b07aaf7d32,Medical Center,35.69896314,139.6474636
4607,4e2bb7f4aeb745b1fac711ed,Medical Center,35.63385862,139.7159229
4777,4d85b84b81fdb1f745d017c0,Medical Center,35.65856,139.589148
5413,4b637ec7f964a5204f7e2ae3,Medical Center,35.75917377,139.7139279
5759,4bccec41cc8cd13ab9dfc1cf,Medical Center,35.68104756,139.7095299
5771,4bda29f163c5c9b641132368,Medical Center,35.7008649,139.7639526
5832,4e7d36df9adf308628455266,Medical Center,35.64099527,139.5994708
5907,4d19955dbb64224bdfe5cf65,Medical Center,35.61878413,139.7030963
5913,4ddcada0b0fba481fc874b4c,Medical Center,35.70283583,139.6538706
6045,4b677c2ef964a520c3512be3,Medical Center,35.724995,139.71463
6107,4b64e06ff964a520c6d62ae3,Medical Center,35.76370455,139.4946765
6109,4b7dd1f7f964a520ced62fe3,Medical Center,35.67807632,139.567769
6118,4b7e3469f964a520ffe52fe3,Medical Center,35.66922073,139.7463512
6281,4b7b362cf964a5203a582fe3,Medical Center,35.70433387,139.7678898
6313,4b948d5cf964a520387d34e3,Medical Center,35.69695021,139.7667529
6438,4f4f4ff6e4b07dc4f00d1df9,Medical Center,35.61722114,139.7236061
6441,4d2bc3866e27a143a7013b24,Medical Center,35.62915379,139.7419846
6480,4ba98558f964a520392c3ae3,Medical Center,35.656876,139.704217
6485,4f3f08e8e4b0b019c56cb66b,Medical Center,35.68936974,139.5693254
6503,4d2281d7f7a9a143b31f409f,Medical Center,35.71853845,139.7520804
6598,4f840686e4b077f838c23527,Medical Center,35.70193637,139.6958913
6915,4d6d9329ffedf04d7b0d57c5,Medical Center,35.721926,139.7062142
6938,4c12e23882a3c9b6a59afaf8,Medical Center,35.70018429,139.7612089
6943,4c537b52f5f3d13a74be8ff8,Medical Center,35.731518,139.5469606
6977,4f5d5d6be4b01219acef6dfb,Medical Center,35.665807,139.753148
7027,4b6258cbf964a5206b432ae3,Medical Center,35.65062282,139.5573521
7053,4be755c6d4f7c9b6b5c92720,Medical Center,35.60704903,139.6838915
7219,4dd70dc2fa76ad96d11bdceb,Medical Center,35.66257373,139.7303586
7309,4bdfb437ea279c741392e22b,Medical Center,35.70493556,139.5848233
7394,4dc3c5207d8b14fb45ff3035,Medical Center,35.79893231,139.7402036
7446,4cc39e75306e224b2765986c,Medical Center,35.6021311,139.7400454
7452,4ef582275c5c68fa09cfd0ee,Medical Center,35.74301611,139.7793237
7544,4b960306f964a52026ba34e3,Medical Center,35.68382753,139.6897754
7622,4f5dd0c8e4b0cfc5e2f0bc0a,Medical Center,35.70179749,139.5629272
7797,4f750dbbe4b04262b65e52ec,Medical Center,35.70559666,139.6662128
7817,4b6b6276f964a52020052ce3,Medical Center,35.74953171,139.6912215
7835,4bbb22becf2fc9b67531a202,Medical Center,35.57247063,139.7040637
7866,4f86320be4b0ba0458971a7f,Medical Center,35.8043447,139.8043728
8136,4eefda492c5b9617d9c4bf70,Medical Center,35.70055757,139.7768962
8185,4ee0a8cb0e61e7dd0d89b3b3,Medical Center,35.70544225,139.6181927
8264,4f360a42e4b00d9f950e37ac,Medical Center,35.769953,139.6611151
8287,4b6bace5f964a5202b152ce3,Medical Center,35.6782698,139.7055597
8381,4f7fb797e4b05766b0f4f39a,Medical Center,35.615567,139.541802
8476,4c0201668ef2c9b6808316fc,Medical Center,35.6438876,139.6996457
8869,4d2be3d9849f3704efea9541,Medical Center,35.56534046,139.7145402
8877,4c7eec7e01df37041cdce4ac,Medical Center,35.60744347,139.73647
8897,4f877af6e4b0ddfd80787a89,Medical Center,35.700973,139.740935
8906,4dd1d79e7d8b4c6585df6cb0,Medical Center,35.59976375,139.7162233
9020,4b9d7bdff964a520afaf36e3,Medical Center,35.70781557,139.6192832
9361,4d75e04c48b7f04de29eedf5,Medical Center,35.69103854,139.7362407
9371,4f87e3ffe4b07f1a33efed85,Medical Center,35.56877,139.548461
9372,4b2f1e7cf964a52099e924e3,Medical Center,35.69732511,139.7725511
9411,4cf34fd2e3b9a09322374953,Medical Center,35.57820327,139.5729532
9554,4c818c33dc018cfab809c76c,Medical Center,35.850111,139.671992
9601,4f48c58ce4b024e50c7af292,Medical Center,35.69765224,139.8265102
9853,4ccbe09572106dcb1f7f9799,Medical Center,35.648948,139.802953
9858,4d7ad7aa357937043caa745d,Medical Center,35.68529155,139.5463604
9873,4daf79e00cb6ead7fdd05e06,Medical Center,35.7171025,139.8161148
9900,4c996f0980958cfa46aa3ad4,Medical Center,35.66900459,139.6023159
9914,4cfd79920df3236a1f4604aa,Medical Center,35.58662595,139.6299112
9919,4cc15e7921a4f04d94786355,Medical Center,35.70085936,139.7081886
9925,4cd4a113aeb1224b1dbd1dff,Medical Center,35.607477,139.666079
9932,4f88de40e4b09582a1d5fc82,Medical Center,35.7007496,139.7080132
9943,4f249749e4b067a32705c9c6,Medical Center,35.57590103,139.5972748
9948,4b886cc0f964a520cff631e3,Medical Center,35.81116515,139.678842
9958,4c788208df08a1cd2ee3d75d,Medical Center,35.58663249,139.6299541
9969,4d5f56f9b6b9a1cdc62f6e51,Medical Center,35.67009312,139.7633486
9973,4f3c7342e4b0d8b9d9c15c51,Medical Center,35.64358,139.608702
9990,4e3677a3ae60d86c3ac9c7c5,Medical Center,35.73217543,139.6412664
10033,4bcfc90a9854d13ac6cff64d,Medical Center,35.7208032,139.7587538
10035,4e850007f790445290661eb7,Medical Center,35.705233,139.62048
10077,4e491966a809fb2fa40cdba2,Medical Center,35.82994,139.799559
10249,4ebf19660e019a162a7853ec,Medical Center,35.70130579,139.8094385
10274,4de4af34fa7651589f334cae,Medical Center,35.58131697,139.6629815
10649,4e5c2ebd18a8a75fa26cd794,Medical Center,35.67287268,139.8325896
10671,4edae3590e61d46ad8ae97c1,Medical Center,35.60956257,139.7182372
10993,4cafcfafc5e6a1cd3423d0f6,Medical Center,35.56069,139.56783
11464,4f726c71e4b0cb5254a285aa,Medical Center,35.80218354,139.7204568
11479,4b78e889f964a52003e62ee3,Medical Center,35.71831415,139.8572016
11486,4e0d228a18a8bf9784c04f1b,Medical Center,35.57866524,139.7349235
11571,4c6d076c46353704c3e207bc,Medical Center,35.66019472,139.6968645
11844,4b6d03ddf964a52016632ce3,Medical Center,35.700374,139.747848
11863,4dd5b09b45ddced8205cca27,Medical Center,35.634152,139.716805
12096,4f8d99afe4b00c10ec6384f9,Medical School,35.70747912,139.7595152
12098,4dcdeccf183899ddfac61890,Medical Center,35.73722068,139.7191
12109,4c69c1930e98a5936c562559,Medical Center,35.5833855,139.6416799
12132,4b737fb3f964a52071b12de3,Medical Center,35.72538383,139.7314362
12136,4b870142f964a520f5aa31e3,Medical Center,35.706035,139.6857026
12137,4db50ec2a86e8d27079089ef,Medical Center,35.705057,139.64988
12142,4e65851c1850e238d707e414,Medical Center,35.65577941,139.8939157
12144,4c4cd2fd7711e21e0a6a5ca0,Medical Center,35.86028301,139.7161388
12148,4e2cfc237d8b7deda6e10b05,Medical Center,35.673465,139.769531
12165,4b9110c3f964a520e7a133e3,Medical Center,35.70331207,139.7424477
12215,4dd0a280d22deadedd87fefc,Medical Center,35.6214162,139.6824718
12221,4f2754aa7beb6b2df84d0f22,Medical Center,35.76169909,139.6741006
12391,4f8b6c1de4b024e856801df8,Medical Center,35.67758209,139.5914749
12572,4f43342ce4b0bf8742dd0075,Medical Center,35.7031735,139.5987493
12698,4b6a5e05f964a520a0d32be3,Medical Center,35.6342093,139.7159457
12734,4cf9dea6d7206ea88fbd3569,Medical Center,35.67143458,139.8940229
12875,4b91be38f964a52030d433e3,Medical Center,35.72953726,139.7137533
12936,4f2a65cee4b09f4f374e5a48,Medical Center,35.72960896,139.6867526
12970,4f743f92e4b0d6e33a4a27f5,Medical Center,35.68861793,139.7139628
13038,4e7c59a9b8f75b2042b708a5,Medical Center,35.6964647,139.8143165
13209,4b70a6abf964a520a0272de3,Medical Center,35.5790544,139.6579885
13211,4e68fbca483bc77630a92bde,Medical Center,35.70060052,139.7633436
13212,4b9c5897f964a520746136e3,Medical Center,35.73000089,139.7133842
13228,4d0f0247d21db60c9c102218,Medical Center,35.61672442,139.7074197
13232,4bc50d63ccbcef3ba40fe6d2,Medical Center,35.68558783,139.6999812
13233,4b723398f964a520ae732de3,Medical Center,35.69212996,139.763721
13237,4f90c6d6e4b0cb4ec7c87fb7,Medical Center,35.70622701,139.6183272
13309,4c6495fdd02b20a11e609b90,Medical Center,35.618097,139.718814
13333,4b88a661f964a520c50632e3,Medical Center,35.678466,139.63569
13428,4bcf8b6cb221c9b6c748d2d0,Medical Center,35.7521663,139.8580737
13459,4bc538a64a9aa593a54c067b,Medical Center,35.66961057,139.7733974
13580,4b639a80f964a5204f862ae3,Medical Center,35.78390458,139.7113217
