,ID,Category,lat,lng
8,4cca7bd67965b60c80f0858a,Other Great Outdoors,35.75575922,139.7335732
22,4d1bcae9f8ca236a2ff7f030,Other Great Outdoors,35.66993326,139.825227
98,4b7d7de1f964a5200bc22fe3,Other Nightlife,35.70618888,139.6469652
116,4b6f3ddff964a5208ce62ce3,Office,35.62312387,139.7491693
134,4c96f8a2533aa093e95ad645,Office,35.67304699,139.7599232
139,4b63fae9f964a520b4992ae3,Other Great Outdoors,35.66214296,139.7328007
154,4b6545c5f964a52064eb2ae3,Other Great Outdoors,35.70585469,139.649899
172,4ba5977af964a520d61439e3,Other Great Outdoors,35.66529713,139.7367247
202,4ba56d50f964a520f70539e3,Building,35.70154378,139.7694386
244,4b56fc09f964a520c52128e3,Other Great Outdoors,35.67027536,139.6706271
259,4d44a162bf61a1cd77ff0aac,Other Great Outdoors,35.56501395,139.6809704
274,4d46e0591ed56dcb3f8aca54,Office,35.74225412,139.8105633
277,4b5e3975f964a520b98429e3,Building,35.68480354,139.7694826
285,4b267f8af964a520657c24e3,Building,35.68100399,139.7638392
317,4e0ddb7c62e1d5a30cfaeda4,Other Great Outdoors,35.65713961,139.7528323
339,4b874392f964a5203cb931e3,Office,35.64024432,139.7459307
369,4cbe677719ceb1f7ce8f1dcd,Office,35.62540609,139.7420436
371,4b66914df964a52065242be3,Office,35.625393,139.742049
377,4b5d1cc4f964a5202f5329e3,Office,35.62759063,139.7419685
378,4c2e8add16adc928bb1ebc9c,Building,35.68328723,139.74383
407,4bc5312b69369521abd98388,Event Space,35.61756565,139.7772235
416,4b5538e6f964a52011df27e3,Office,35.70931543,139.7729781
417,4b57a92ef964a5204e3a28e3,Building,35.67882526,139.7631526
452,4cff2e6e1ebe6dcbee0b8091,Office,35.70305806,139.774662
453,4c7523466f789c74742f494c,History Museum,35.66753197,139.7618088
473,4f0d071ee4b04a8cd74674ae,Building,35.62411833,139.7289668
492,4daf823e5da3f2f3d2a82527,Office,35.64779322,139.6800732
495,4bb441aabd4b9c74a38232f5,Building,35.67248701,139.7246763
499,4b552568f964a520cadc27e3,Building,35.72935203,139.7181773
507,4b558892f964a520b9e627e3,Event Space,35.66029497,139.7292709
513,4b56bd3df964a520f01928e3,Office,35.72989638,139.7474241
535,4b5254f3f964a520b17727e3,Building,35.68810445,139.6934552
544,4dc642e5fa76d685cdf6822c,Other Great Outdoors,35.76902767,139.8838117
556,4e803e748b81c2429f765622,Event Space,35.6816881,139.7646466
573,4b551ed0f964a520d8db27e3,Building,35.64374621,139.6697262
585,4ba9be42f964a5207e363ae3,Office,35.70036154,139.7504282
586,4b74ebd5f964a52024f82de3,Building,35.71380709,139.7312153
587,4d802672577eb1f733a1a3d3,Building,35.66643381,139.7656448
589,4ec9e7bfcc21b428e5e3e370,Building,35.52745138,139.7009372
590,4ba9be42f964a5207e363ae3,Office,35.70036154,139.7504282
597,4b5ce00df964a520b54829e3,Office,35.68279486,139.6868733
600,4c73488f8efc3704ea62157d,Office,35.55480815,139.7403221
627,4cf6d57971538cfa38c8b72e,Other Great Outdoors,35.65333256,139.7572243
628,4f387173e4b0ea2d7efc515f,Office,35.6563722,139.6993375
629,4f387173e4b0ea2d7efc515f,Office,35.6563722,139.6993375
630,4f6530a0e4b04d4b1657f0da,Office,35.70971184,139.6124519
639,4e4cb76018388d49816c33a8,Building,35.67853081,139.7805919
662,4b7a3bbaf964a5200e272fe3,Office,35.66470567,139.7395062
676,4b5e2045f964a5200e7f29e3,Office,35.61907458,139.7305632
683,4b552568f964a520cadc27e3,Building,35.72935203,139.7181773
688,4f6d7593e4b03b575c3613b1,Art Gallery,35.68619611,139.8024952
712,4b83544bf964a520ab0231e3,Office,35.6656039,139.7313015
722,4b558892f964a520b9e627e3,Event Space,35.66029497,139.7292709
726,4f729013e4b0905384b2e359,Other Great Outdoors,35.64388072,139.6995011
748,4b567da0f964a520b31228e3,Building,35.69319069,139.6931684
762,4be76bcd9a54a59307ed0811,Office,35.62656595,139.7413945
771,4cdcd1ca7dc62c0f6d84e8f2,Office,35.65448718,139.7570795
773,4d5f51ee039188bfa3cb7123,Other Great Outdoors,35.67500799,139.7584641
777,4da2683922a5f04df4921055,Office,35.65823253,139.7085368
782,4b5a2f44f964a520b3b228e3,Building,35.65260616,139.7443986
804,4e07f56dfa767637fd2e66f8,Office,35.65287337,139.6013352
805,4b83544bf964a520ab0231e3,Office,35.6656039,139.7313015
818,4df066d8ae6066d602d5dfa8,Office,35.64906992,139.7526227
822,4c86f6fee602b1f7877fc47a,Building,35.67207085,139.7571893
829,4c96f8a2533aa093e95ad645,Office,35.67304699,139.7599232
839,4c53e0211b46c9b6123fabcd,Office,35.69329525,139.6651393
841,4bbe873a006dc9b6f762fb3f,Office,35.699135,139.765247
842,4b59675bf964a5204e8728e3,Building,35.65233197,139.7491484
867,4f4d1641e4b00b42c3ddbb00,Office,35.65265847,139.7441626
872,4be4d3b2d4f7c9b6c7c82420,Stadium,35.64855224,139.823572
887,4bd14e19a8b3a593a898655f,Building,35.62890743,139.7407722
903,4bb1a29ef964a520f59c3ce3,Office,35.6887772,139.7350645
904,4b99dc94f964a520dd9435e3,Office,35.62560667,139.7406703
914,4deae5011fc7d5135cb4c99b,Office,35.66155366,139.7067515
915,4c6a01052c29d13af6df0c41,Office,35.67851152,139.787271
919,4b7e3467f964a520fde52fe3,Office,35.708582,139.7376028
924,4b5654eff964a520bb0b28e3,Office,35.64935432,139.7481108
926,4b57cc51f964a520a94128e3,Office,35.67125155,139.7470593
934,4b58fdddf964a520467728e3,Building,35.66303643,139.7612911
966,4b565e54f964a520790d28e3,Office,35.70839249,139.7395088
993,4cd4cd5dfb59548186bada50,Museum,35.55014025,139.7892666
1015,4b592b24f964a520ee7f28e3,Building,35.68158788,139.7686082
1020,4b88a474f964a520520632e3,Art Gallery,35.67144486,139.7675966
1055,4ee6b3a2991194490328f3b8,Office,35.67985792,139.6363601
1108,4ce9ecd4f3bda143d613c3e4,Building,35.58326018,139.7470433
1129,4b566c58f964a520b70f28e3,Library,35.68459004,139.7817081
1143,4e7febd3722eea96b85b304f,Office,35.67038112,139.6307718
1148,4f643c28e4b036e3e7c47c56,Office,35.58675901,139.7061288
1166,4b749fdff964a52082e82de3,Building,35.66205579,139.7488296
1172,4d099da94abf721e15d2c45e,Office,35.6281768,139.7403221
1178,4e6ff34bb9935ff0b517d453,Office,35.627918,139.7400127
1183,4c95aa48f6c8ef3b0bf27dcf,Museum,35.6865464,139.7592553
1188,4d8d377b1d06b1f77a432c3b,Building,35.673374,139.8161327
1211,4e3267f318a846d7ed073640,Office,35.68977816,139.710465
1245,4cff2e6e1ebe6dcbee0b8091,Office,35.70305806,139.774662
1251,4bf635815e800f475304e7d4,Building,35.69815284,139.7539473
1253,4b206ec2f964a520363224e3,Stadium,35.69690907,139.7935098
1265,4b73ca50f964a520eebb2de3,Other Great Outdoors,35.70349804,139.5803788
1272,4e3373e3a809117a228b44d2,Office,35.734536,139.841174
1323,4b920816f964a5202ce433e3,Library,35.67521511,139.677895
1347,4cfed88735ae2d43e468e2f1,Library,35.76513641,139.7287174
1355,4c074a85b4aa0f47ae776562,Office,35.62791765,139.7764671
1362,4b7e3467f964a520fde52fe3,Office,35.708582,139.7376028
1367,4b5bc476f964a520fe1429e3,Art Museum,35.7168263,139.7733475
1370,4c7db664d65437048d67c1a2,Office,35.62421568,139.6278781
1377,4b5ab0ddf964a520f5d028e3,Stadium,35.69320376,139.7498274
1378,4e02a6df81dcb799d170d916,Event Space,35.69293799,139.7679913
1380,4de83103fa76fd11689b500c,Building,35.656468,139.782304
1388,4e4cb76018388d49816c33a8,Building,35.67853081,139.7805919
1402,4bf0c7d121072d7f995d208b,Building,35.62060947,139.7286675
1409,4bf353b2e5eba593857e1e90,Office,35.62237989,139.7274551
1410,4b5d14c9f964a520b65129e3,Office,35.694153,139.687614
1414,4f0d071ee4b04a8cd74674ae,Building,35.62411833,139.7289668
1423,4bb1a29ef964a520f59c3ce3,Office,35.6887772,139.7350645
1424,4b595d59f964a520318628e3,Building,35.6674557,139.7451818
1443,4cd4e23d122ba14309b828a1,Library,35.61162205,139.7226665
1453,4b57e8bdf964a520eb4528e3,Library,35.65208309,139.7264707
1456,4f79adf7e4b0ca8cfefe3e33,Other Great Outdoors,35.734277,139.769654
1470,4b5e3975f964a520b98429e3,Building,35.68480354,139.7694826
1472,4cf6d57971538cfa38c8b72e,Other Great Outdoors,35.65333256,139.7572243
1488,4bdf9ada89ca76b046c15d5e,Office,35.69031737,139.7729883
1489,4c73488f8efc3704ea62157d,Office,35.55480815,139.7403221
1497,4b641d46f964a520bd9f2ae3,Other Great Outdoors,35.56445899,139.6396422
1512,4b5ed8abf964a520c29a29e3,Event Space,35.66357687,139.7117561
1526,4bbbede9e4529521806b55a4,Office,35.62666624,139.7403699
1532,4b6fe241f964a520dcfe2ce3,Building,35.66036471,139.7289705
1536,4dfde879483b96a3aaaad1a9,Other Great Outdoors,35.58254534,139.6696864
